2013-10-25,174.21,174.50,166.80,169.66,7578300,169.66
2013-10-24,165.00,174.50,162.83,173.15,10783900,173.15
2013-10-23,168.91,171.81,160.15,164.50,13320400,164.50
2013-10-22,170.50,177.78,166.11,171.54,11386700,171.54
2013-10-21,183.28,183.39,171.00,172.60,11518500,172.60
2013-10-18,184.15,185.96,182.52,183.40,5907700,183.40
2013-10-17,183.54,184.80,180.99,182.80,6693300,182.80
2013-10-16,184.90,187.30,182.09,183.56,8191900,183.56
2013-10-15,185.28,188.79,183.18,183.94,10956200,183.94
2013-10-14,175.00,182.50,174.15,179.72,7758900,179.72
2013-10-11,172.75,179.29,171.20,178.70,8311100,178.70
2013-10-10,173.09,175.75,169.69,172.93,8883900,172.93
2013-10-09,174.73,174.99,161.50,168.78,15316500,168.78
2013-10-08,184.40,185.93,173.21,174.73,13757200,174.73
2013-10-07,182.46,186.73,180.26,183.07,11485600,183.07
2013-10-04,176.40,181.18,172.65,180.98,14414000,180.98
2013-10-03,175.05,179.69,168.00,173.31,23816500,173.31
2013-10-02,188.59,191.83,175.40,180.95,20775400,180.95
2013-10-01,193.96,194.23,188.37,193.00,7755900,193.00
2013-09-30,189.00,194.50,188.00,193.37,8924700,193.37
2013-09-27,187.52,191.28,186.43,190.90,5916400,190.90
2013-09-26,186.70,189.68,185.61,188.64,6614400,188.64
2013-09-25,183.56,186.30,180.50,185.24,8239000,185.24
2013-09-24,179.14,184.96,177.65,182.33,6273400,182.33
2013-09-23,184.48,185.48,177.11,181.11,8173400,181.11
2013-09-20,178.90,185.83,178.56,183.39,13376700,183.39
2013-09-19,170.80,180.47,169.08,177.92,15578300,177.92
2013-09-18,167.07,167.45,164.20,166.22,5330600,166.22
2013-09-17,165.08,168.42,163.36,166.23,5496900,166.23
2013-09-16,168.00,170.85,165.85,166.58,7574900,166.58
2013-09-13,162.77,166.37,162.16,165.54,5401200,165.54
2013-09-12,164.00,166.76,160.51,164.93,6108400,164.93
2013-09-11,166.41,167.90,162.13,163.52,5816400,163.52
2013-09-10,161.45,167.50,160.63,166.37,8955800,166.37
2013-09-09,163.12,164.50,158.51,160.70,14321400,160.70
2013-09-06,168.57,169.70,165.15,166.97,8603400,166.97
2013-09-05,170.10,171.50,168.25,169.93,6685300,169.93
2013-09-04,169.77,171.62,165.56,170.62,11464400,170.62
2013-09-03,173.40,173.70,166.40,168.94,12032500,168.94
2013-08-30,166.37,169.21,163.96,169.00,11002200,169.00
2013-08-29,164.22,167.75,162.51,166.06,9436000,166.06
2013-08-28,169.06,171.50,163.25,166.45,14740100,166.45
2013-08-27,162.30,168.80,160.95,167.01,17566900,167.01
2013-08-26,165.15,173.00,160.25,164.22,24171100,164.22
2013-08-23,157.00,162.30,155.00,161.84,12931900,161.84
2013-08-22,149.22,157.48,148.14,157.10,10592400,157.10
2013-08-21,150.00,150.31,146.25,147.86,6266300,147.86
2013-08-20,148.65,149.78,147.00,149.58,6418200,149.58
2013-08-19,143.43,147.38,142.83,144.90,8037700,144.90
